how-does-seismic-hazard-vary-across,28.9748,41.0130,0
feb-6-turkey-syria-earthquakes,38.6533,37.9499,0
sometimes-earthquakes-hide-in-shaking,36.025,36.162,6.3
2023-turkey-syria-earthquakes-cause,33.4299,35.1264,0
stress-change-models-in-wake-of-2023,37.014,37.226,7.8
focal-mechanisms-of-2023-turkey-syria,37.014,37.226,7.8
m68-earthquake-in-tajikistan-occurred,73.229,38.055,6.9
satellite-observations-reveal-surface,36.025,36.162,6.8
report-highlights-liquefaction-in-2023,37.014,37.226,7.8
fault-creep-in-western-sea-of-marmara,28,40.45,0
did-feb-6-turkey-syria-earthquakes-make,36,35,0
once-one-earthquake-happens-on-dead-sea,35,30,0
evaluating-istanbuls-seismic-hazard,29,41,0
is-adana-at-risk-of-major-ground-shaking,35.3,37.0,0
what-happened-during-feb-6-turkey-syria,37.014,37.226,7.8
creep-on-eastern-east-anatolian-fault,39.061,38.431,6.7
seismic-hazard-update-for-gaziantep_3,37.3781,37.0660,0
how-geologists-use-fault-slip-rates-to,37.014,37.226,7.8
how-much-do-faults-slip-in-earthquakes,37.014,37.226,7.8
whats-difference-between-double,37.014,37.226,7.8
breaking-aftershock-patterns-of-feb-6,37.014,37.226,7.8
update-on-seismicity-near-kayseri-turkey_7,35.35,38.72,5
seismic-hazard-in-istanbul-is-driven-by,28.5,40.5,0
no-change-in-seismic-activity-on-east,37.5,37.5,0
update-on-seismicity-near-kayseri-turkey,35.35,38.72,5
new-approach-to-modeling-plate,175,-41,0
m42-earthquake-near-adana-march-11-2023,35.770,36.910,4.2
feb-6-earthquake-causes-aftershocks-on,35.5,35.5,3
aftershocks-of-turkey-syria-sequence,37.014,37.226,7.8
putting-aftershocks-near-adana-into,35.3308,36.9914,4
first-paper-about-2023-turkey-syria,37.014,37.226,7.8
how-seismicity-and-fault-creep-control,39,38.3,0
m44-earthquake-offshore-sw-cyprus-not,32.450,34.509,4.4
m47-earthquake-on-north-anatolian-fault,31.540,40.800,4.7
is-todays-m46-earthquake-offshore,34.417,36.436,4.6
seismic-hazard-update-for-gaziantep,37.3781,37.0660,0
m67-earthquake-below-ecuador-march-18,-79.852,-2.783,6.8
unusual-tectonic-setting-of-m67-ecuador,-79.852,-2.783,6.8
seismic-hazard-update-around-goksun,36.5,38,0
did-feb-6-2023-turkey-syria-earthquake,37.014,37.226,7.8
update-on-seismic-hazard-near-bingol,40.4966,38.8855,0
march-18-2023-m68-earthquake-in-ecuador,-79.852,-2.783,6.8
anthropogenic-earthquakes-along-dead,35.77,33.78,0
m65-earthquake-in-afghanistan-contrasts,70.943,36.523,6.5
m46-earthquake-in-california-triggers,-124.373,40.542,4.6
earthquakes-below-pamir-and-hindu-kush,72,37,0
m65-earthquake-below-argentina-march-22,-66.495,-23.422,6.5
update-on-aftershocks-in-hatay-turkey,36.2,36.2,0
m5-earthquake-in-flinders-region,139.59,-32.79,5
m49-aftershock-near-goksun-turkey,36.427,38.011,4.9
update-on-aftershocks-around-malatya,38.3,38.1,0
m56-earthquake-in-western-iran-march-24,44.851,38.461,5.6
update-on-seismic-risk-in-adana,35.5,36.9,0
update-on-march-16-2023-m47-earthquake,31.540,40.800,4.7
earthquake-swarm-near-kayseri-turkey,35.330,38.710,4.4
m6-earthquake-offshore-japan-march-28,142.8,41.2,6
m5-earthquake-in-east-african-rift,29.304,-0.662,4.7
should-we-expect-large-earthquake-on,36.3,36.1,0
m47-earthquake-near-molise-italy-march,14.665,41.666,4.7
march-29-m48-near-goksun-turkey,36.290,37.940,4.8
m63-earthquake-offshore-chile-occurred,-73.497,-35.666,6.3
m46-earthquakes-largest-aftershock-near,36.740,36.970,4.6
m46-earthquake-in-nepal-is-reminder-of,86.198,27.766,4.6
april-1-m45-near-near-samandag-turkey,35.817,36.003,4.5
m55-earthquake-in-flores-sea-indonesia,118.679,-7.811,5.5
m7-earthquake-in-papua-new-guinea,143.166,-4.323,7
feb-6-turkey-syria-earthquake-triggered,36.5,34.5,4.1
m65-earthquake-below-kamchatka-occurred,158.494,52.723,6.5
m61-earthquake-below-west-coast-of,98.921,0.946,6.1
two-months-after-2023-turkey-syria,37.014,37.226,7.8
m45-earthquake-rattles-san-jose,-121.323,36.801,4.5
m61-earthquake-in-panama-occurred-at,-82.335,7.567,6.1
oil-production-in-oklahoma-likely,-96.970,35.794,4.2
understanding-tectonics-of-turkey-and,33,39,0
alert-level-orange-at-nevado-del-ruiz,-75.3188,4.8920,0
did-feb-6-earthquakes-in-southeastern,39,41,0
m43-earthquake-in-northeast-india-is,87.170,25.814,4.3
hot-water-is-spewing-out-of-the-cascadia,-125.15,44.6,0
very-deep-m7-earthquake-east-of-java,112.059,-5.998,7
m42-earthquake-in-syria-widely-felt,35.713,33.779,4.2,always
m43-earthquake-in-the-pyrenees-caused,0.340,42.950,4.3
m52-earthquake-on-mexicos-western,-101.062,17.274,5.2
unusual-m45-earthquake-500-km-off,-70.836,32.620,4.5
two-new-papers-published-on-the-feb,37.014,37.226,7.8
m46-earthquake-east-of-athens-aftershock,24.214,38.240,4.6
m36-earthquake-below-eastern-shore,-76.020,43.864,3.6
m71-earthquake-north-of-new-zealand,-177.839,-29.957,7.1
m71-earthquake-hits-the-mentawai,98.511,-0.808,7.1
there-is-a-40-km-seismic-gap-on-the,38.8,38.25,0
two-earthquakes-m59-and-m54-shake,176.62,-40.28,5.9
m45-earthquake-in-southern-california,-115.590,33.201,4.5
m59-earthquake-offshore-okinawa-japan,128.475,26.016,5.9
m5-earthquake-near-goksun-turkey,36.556,38.054,5
m62-shallow-thrust-in-western-japan,137.299,37.548,6.2
m45-earthquake-near-dhaka-felt-by,90.310,23.694,4.5
m49-earthquake-near-antakya-is-largest,36.390,36.450,4.9
latest-paper-about-the-feb-6-kahramanmaras,37.014,37.226,7.8
m76-earthquake-occurred-within-subducting,-174.493,-15.628,7.6
m55-earthquake-in-california-occurred,-121.110,40.204,5.5,always
new-paper-documents-surface-rupture,37.014,37.226,7.8
cluster-of-earthquakes-south-of-japan,139.367,33.313,5.8
m64-subduction-earthquake-below-guatemala,-90.805,15.107,6.4
m77-quake-at-the-new-hebrides-subduction,170.742,-23.206,7.7
more-than-3-months-after-turkey-syria,37.014,37.226,7.8
m66-earthquake-strikes-offshore-colombia,-77.090,8.922,6.6
m62-earthquake-near-tokyo-causes,140.528,35.529,6.2
m58-earthquake-on-the-northern-sagaing,96.232,25.105,5.8
new-paper-suggests-earthquakes-on,-116,33.6,0,always
m62-earthquake-on-the-manila-trench,120.720,13.763,6.2
m49-earthquake-strikes-western-france,-0.772,46.211 ,4.9
m-55-earthquake-strikes-the-southern,148.913,-9.508,5.5
m56-earthquake-below-santiago-caused,-70.335,-33.211,5.6
unusual-m66-earthquake-shakes-much,-61.102,20.063,6.6
m52-earthquake-in-remote-siberia,135.819,75.183,5.2
m63-earthquake-offshore-mexico-possible,-93.901,14.900,6.3
m72-earthquake-offshore-alaska-occurred,-160.762,54.393,7.2
m66-earthquake-strikes-deep-below,-70.443,-38.186,6.6
shaking-across-central-america-caused,-88.080,12.800,6.5
m55-earthquake-hits-turkey-more-than,35.948,37.579,5.5
m56-earthquake-in-afar-triple-junction,39.526,15.221,5.6
unusual-m54-earthquake-strikes-usually,116.391,37.231.5.4
six-months-after-feb-6-kahramanmaras,36.436,36.616,6.0
m43-earthquake-jolts-parkfield-california,-120.484,35.935,4.3
m53-earthquake-in-northeastern-bangladesh,92.248,24.980,5.3
m63-earthquake-shakes-central-colombia,-73.620,4.346,5.3
m51-earthquake-strikes-north-of-los,-119.188,34.409,5.1
m57-earthquake-in-western-colombia,-76.684,5.339,5.7
magnitude-36-earthquake-strikes-near,-80.972,41.731,3.6
ultra-deep-m71-earthquake-in-indonesia,116.521,-6.789,7.1
m55-offshore-of-panama,-78.4,9.95,5.5
m63-earthquake-strikes-below-central,-71.482,-30.274,6.3
deadly-m68-earthquake-hits-morocco,-8.385,31.058,6.8
tracking-updates-on-the-morocco-earthquake,-8.385,31.058,6.2,always
satellite-images-suggest-slip-on,-8.385,31.058,5
m63-earthquake-in-the-philippines,121.229,19.236,6.3
magnitude-50-earthquake-in-myanmar,94.98,24.53,5
aftershocks-of-the-morocco-earthquake,-8.385,31.058,5
the-earthquake-that-cracked-a-mountain,-8.516,30.845,5
m51-earthquake-northeast-of-florence,11.601,44.037,5.1
m45-earthquake-strikes-east-of-san,-121.296,37.438,4.5
m60-earthquake-strikes-new-zealands,171.08,-43.70,6.0
did-the-high-atlas-really-grow-20,-8.25,31.0324,6.0,always
printable-wall-map-of-morocco,-6.0625,31.854,6.0
magnitude-47-earthquake-jolts-northern,-124.289,40.559,4.7
buildings-collapse-in-nepal-due-to,81.242,29.497,5.7
two-magnitude-63-earthquakes-strike,61.9547,34.5414,6.3
m50-earthquake-in-slovakia-is-largest,21.788,49.095,5.0
third-m63-earthquake-strikes-western,62.051,34.536,6.3
fourth-m63-earthquake-strikes-afghanistan,62.124,34.653,6.3
m59-earthquake-shakes-eastern-mindanao,126.352,7.462,5.9
m53-earthquake-in-nepal-triggers,84.725,27.888,5.3
widely-felt-m37-earthquake-shakes,-122.377,37.618,3.7
mw51-53-earthquakes-strike-remote,-136.487,59.0118,5.3
m54-earthquake-shakes-jamaica,-76.607,18.190,5.4
magnitude-67-earthquake-strikes-below,-71.557,-28.743,6.7
deadly-m56-earthquake-strikes-western,82.153,28.858,5.6
magnitude-52-earthquake-shakes-central,23.558,38.686,5.2
m52-earthquake-in-west-texas-likely,-103.982,31.622,5.2
mw71-67-and-67-earthquakes-in-the,129.547,-6.416,7.1
volcanic-earthquakes-in-iceland,-22.4125,63.868,3.0
m67-earthquake-shakes-southern-mindanao,125.16,5.45,6.7
animated-3d-model-of-volcanic-seismicity,-22.4125,63.868,3.0
mw69-strike-slip-earthquake-in-the,145.520,20.132,6.9
m48-earthquake-near-california-mexico,-115.873,32.752,4.8
m55-earthquake-felt-across-bangladesh,90.932,23.148,5.5
m76-earthquake-below-east-coast-of,126.416,8.527,7.6
m58-earthquake-shakes-mexico-city,-98.738,18.270,5.8
m56-earthquake-in-the-remote-norwegian,3.586,72.585,5.6
istanbul-lightly-shaken-by-m4-earthquake,29.099,40.722,4.0
deadly-m61-earthquake-strikes-western,102.815,35.739,6.1
m75-earthquake-strikes-western-japan,137,37.4,7.2
tectonics-of-the-january-1-2024-m75,137,37.4,7.2
seismicity-patterns-around-the-jan,137,37.4,6.8
m64-shakes-afghanistan-and-neighboring,70.601,36.498,6.4
m59-earthquake-off-the-coast-of-southeast,-135.714,56.438,5.9
oklahoma-city-shaken-by-moderate,-97.398,35.666,4.3
m54-earthquake-below-lake-baikal,109.736,54.776,5.2
m56-earthquake-strikes-below-colombia,-75.848,4.743,5.6
m53-earthquake-shakes-fairbanks-alaska,-146.964,64.491,5.3
major-m70-earthquake-strikes-china,78.654,41.256,7.0
m52-earthquake-strikes-near-malatya,38.420,38.116,5.2
m42-in-san-bernardino-shakes-greater,-117.312,34.112,4.2
m61-in-sinking-slab-shakes-guatemala,-90.616,14.064,6.1
update-on-m70-earthquake-in-china,78.654,41.256,6.5
m51-earthquake-in-oklahoma-felt-more,-96.764,35.534,5.1
one-year-after-the-february-6-turkiye,36.9421,37.33,7.5,always
m57-earthquake-shakes-hawaii,-155.493,19.187,5.9
m47-earthquake-rattles-southern-texas,-98.005,28.958,4.7
m49-earthquake-shakes-idaho,-116.111,44.391,4.9
seismic-swarm-rattles-boso-peninsula,140.547,35.288,4.8
m53-earthquake-shakes-almaty-kazakhstan,76.99,42.88,5.3
m54-earthquake-shakes-montenegro,18.6796,42.9936,5.4
m55-earthquake-shakes-remote-registan,63.3794,29.7078,5.5
magnitude-64-earthquake-rocks-java,112.365,-5.875,6.4
m69-earthquake-shakes-papua-new-guinea,143.134,-4.129,6.9
m41-earthquake-rattles-northern-italy,12.8,46.36,4.1
m59-earthquake-shakes-southwestern,21.310,37.325,5.9
deadly-m74-earthquake-strikes-taiwan,121.562,23.819,7.4
m48-new-jersey-earthquake-shakes,-74.760,40.696,4.8
southern-japan-shaken-by-m63-earthquake,132.365,33.250,6.3
central-turkey-shaken-by-unusual,36.020,40.045,5.6 
seismic-swarm-near-southern-tip-of,121.55,23.7,6.1
m57-earthquake-in-the-leyte-gulf,125.335,10.864,5.7
m56-m54-earthquakes-strike-south,121.596,23.721,5.6
m64-earthquake-shakes-coast-of-mexico,-92.462,14.426,6.4
m49-earthquake-at-the-cierro-prieto,-115.241,32.425,4.9
m51-earthquake-shakes-indonesian,115.972,-8.222,5.1
m59-earthquake-shakes-simeulue-indonesia,95.607,2.809,5.9
m58-earthquake-strikes-noto-peninsula,137.268,37.448,5.8
m43-earthquake-on-maacama-fault-rattles,-123.533,39.668,4.3
m6-earthquake-beneath-northern-venezuela,-62.687,10.692,6.0
m72-earthquake-in-southern-peru-causes,-74.454,-15.828,7.2
m67-earthquake-strikes-between-south,25.348,-53.309,6.7
swarm-offshore-vancouver-island-punctuated,-128.710,48.788,6.0,always
m74-earthquake-shakes-chile,-67.840,-23.079,7.4
m49-west-texas-earthquake-presumed,-100.659,32.766,4.9
m51-earthquake-in-vietnam-is-largest,108.229,14.784,5.1
m49-earthquake-near-barstow-california,-116.787,34.950,4.9
m68-earthquake-offshore-mindanao,126.616,8.185,6.8
m52-earthquake-shakes-south-and-central,-119.097,35.109,5.2
m71-earthquake-strikes-southern-japan,131.502,31.760,7.1
m44-thrust-earthquake-rattles-los,-118.179,34.083,4.4
m71-strikes-offshore-kamchatka-in,160.133,52.931,7.1
m54-earthquake-shakes-portugal,-9.4651,38.0067,5.4
montreal-jolted-by-m38-earthquake,-72.755,46.04,3.8
m62-earthquake-shakes-papua-new-guinea,144.23,-3.51,6.2
mw5-aftershock-occurs-near-epicenter,37.011732,36.912328,5.0
m54-earthquake-shakes-northern-pakistan,70.6295,31.1773,5.4
m47-strikes-near-malibu-california,-118.793917,34.0676,4.7
m65-earthquake-strikes-offshore-western,-130.697,51.622,6.5
shallow-m50-earthquake-shakes-west,107.7,-7.22,5.0
magnitude-44-earthquake-shakes-central,23.3,38.28,4.4
m62-earthquake-shakes-the-nicoya,-86.171,10.487,6.2
mw60-earthquake-shakes-eastern-turkiye,38.89,38.307,6.0
mw58-earthquake-strikes-eastern-indonesia,127.309,-1.131,5.8
mw47-earthquake-strikes-within-death,-117.07,36.6,4.7
m60-offshore-oregon-lightly-felt,-127.8,43.54,6.0